Sept. 7, 2022   15:39:14
Linear Sweep Voltammetry
File: f:\2-Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 0.8
Scan Rate (V/s) = 0.005
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1
Comp R (ohm) = 1.2


Potential/V, Current/A

0.000, -4.427e-3
0.001, -4.412e-3
0.002, -4.408e-3
0.003, -4.411e-3
0.004, -4.411e-3
0.005, -4.409e-3
0.006, -4.411e-3
0.007, -4.411e-3
0.008, -4.406e-3
0.009, -4.403e-3
0.010, -4.406e-3
0.011, -4.408e-3
0.012, -4.401e-3
0.013, -4.403e-3
0.014, -4.406e-3
0.015, -4.406e-3
0.016, -4.409e-3
0.017, -4.404e-3
0.018, -4.406e-3
0.019, -4.409e-3
0.020, -4.406e-3
0.021, -4.410e-3
0.022, -4.409e-3
0.023, -4.407e-3
0.024, -4.405e-3
0.025, -4.403e-3
0.026, -4.405e-3
0.027, -4.398e-3
0.028, -4.405e-3
0.029, -4.408e-3
0.030, -4.402e-3
0.031, -4.406e-3
0.032, -4.406e-3
0.033, -4.404e-3
0.034, -4.403e-3
0.035, -4.399e-3
0.036, -4.406e-3
0.037, -4.399e-3
0.038, -4.399e-3
0.039, -4.411e-3
0.040, -4.404e-3
0.041, -4.406e-3
0.042, -4.407e-3
0.043, -4.403e-3
0.044, -4.407e-3
0.045, -4.406e-3
0.046, -4.408e-3
0.047, -4.403e-3
0.048, -4.407e-3
0.049, -4.412e-3
0.050, -4.409e-3
0.051, -4.406e-3
0.052, -4.407e-3
0.053, -4.415e-3
0.054, -4.406e-3
0.055, -4.415e-3
0.056, -4.414e-3
0.057, -4.409e-3
0.058, -4.410e-3
0.059, -4.405e-3
0.060, -4.403e-3
0.061, -4.409e-3
0.062, -4.400e-3
0.063, -4.404e-3
0.064, -4.411e-3
0.065, -4.406e-3
0.066, -4.408e-3
0.067, -4.408e-3
0.068, -4.405e-3
0.069, -4.408e-3
0.070, -4.407e-3
0.071, -4.411e-3
0.072, -4.404e-3
0.073, -4.402e-3
0.074, -4.400e-3
