Sept. 7, 2022   15:44:29
A.C. Impedance
File: f:\2-Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.711
High Frequency (Hz) = 1e+5
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.995e+4, 1.271e+0, 4.937e-1, 1.364e+0, 21.2
8.252e+4, 1.236e+0, 4.121e-1, 1.303e+0, 18.4
6.812e+4, 1.212e+0, 3.426e-1, 1.260e+0, 15.8
5.625e+4, 1.196e+0, 2.812e-1, 1.229e+0, 13.2
4.644e+4, 1.186e+0, 2.305e-1, 1.208e+0, 11.0
3.833e+4, 1.179e+0, 1.879e-1, 1.193e+0, 9.1
3.164e+4, 1.174e+0, 1.524e-1, 1.184e+0, 7.4
2.612e+4, 1.172e+0, 1.221e-1, 1.178e+0, 5.9
2.153e+4, 1.170e+0, 9.656e-2, 1.174e+0, 4.7
1.777e+4, 1.170e+0, 7.456e-2, 1.172e+0, 3.6
1.470e+4, 1.170e+0, 5.580e-2, 1.172e+0, 2.7
1.211e+4, 1.172e+0, 3.983e-2, 1.172e+0, 1.9
1.001e+4, 1.174e+0, 2.533e-2, 1.174e+0, 1.2
8.252e+3, 1.176e+0, 1.227e-2, 1.176e+0, 0.6
6.812e+3, 1.179e+0, 8.813e-4, 1.179e+0, 0.0
5.625e+3, 1.182e+0, -8.952e-3, 1.182e+0, -0.4
4.643e+3, 1.186e+0, -1.743e-2, 1.186e+0, -0.8
3.833e+3, 1.189e+0, -2.565e-2, 1.189e+0, -1.2
3.164e+3, 1.193e+0, -3.378e-2, 1.193e+0, -1.6
2.612e+3, 1.198e+0, -4.173e-2, 1.198e+0, -2.0
2.153e+3, 1.203e+0, -4.976e-2, 1.204e+0, -2.4
1.777e+3, 1.208e+0, -5.826e-2, 1.209e+0, -2.8
1.470e+3, 1.214e+0, -6.787e-2, 1.216e+0, -3.2
1.211e+3, 1.220e+0, -7.875e-2, 1.223e+0, -3.7
1.001e+3, 1.227e+0, -8.981e-2, 1.230e+0, -4.2
8.252e+2, 1.235e+0, -1.019e-1, 1.239e+0, -4.7
6.836e+2, 1.244e+0, -1.170e-1, 1.249e+0, -5.4
5.615e+2, 1.253e+0, -1.354e-1, 1.261e+0, -6.2
