Sept. 7, 2022   15:50:39
Cyclic Voltammetry
File: f:\2-Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.1
High E (V) = 0.2
Low E (V) = 0.1
Init P/N = P
Scan Rate (V/s) = 0.06
Segment = 10
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.1

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Segment 8:

Segment 9:

Segment 10:

Potential/V, Current/A

0.100, -4.331e-3
0.101, -4.283e-3
0.102, -4.262e-3
0.103, -4.247e-3
0.104, -4.237e-3
0.105, -4.228e-3
0.106, -4.223e-3
0.107, -4.216e-3
0.108, -4.211e-3
0.109, -4.205e-3
0.110, -4.200e-3
0.111, -4.197e-3
0.112, -4.194e-3
0.113, -4.191e-3
0.114, -4.190e-3
0.115, -4.186e-3
0.116, -4.184e-3
0.117, -4.182e-3
0.118, -4.180e-3
0.119, -4.178e-3
0.120, -4.177e-3
0.121, -4.175e-3
0.122, -4.174e-3
0.123, -4.173e-3
0.124, -4.173e-3
0.125, -4.169e-3
0.126, -4.168e-3
0.127, -4.167e-3
0.128, -4.166e-3
0.129, -4.166e-3
0.130, -4.163e-3
0.131, -4.163e-3
0.132, -4.161e-3
0.133, -4.162e-3
0.134, -4.161e-3
0.135, -4.158e-3
0.136, -4.157e-3
0.137, -4.157e-3
0.138, -4.157e-3
0.139, -4.156e-3
0.140, -4.154e-3
0.141, -4.153e-3
0.142, -4.152e-3
0.143, -4.150e-3
0.144, -4.149e-3
0.145, -4.148e-3
0.146, -4.147e-3
0.147, -4.148e-3
0.148, -4.146e-3
0.149, -4.144e-3
0.150, -4.143e-3
0.151, -4.143e-3
0.152, -4.141e-3
0.153, -4.139e-3
0.154, -4.139e-3
0.155, -4.138e-3
0.156, -4.137e-3
0.157, -4.134e-3
0.158, -4.135e-3
0.159, -4.133e-3
0.160, -4.134e-3
0.161, -4.129e-3
0.162, -4.128e-3
0.163, -4.128e-3
0.164, -4.126e-3
0.165, -4.123e-3
0.166, -4.124e-3
0.167, -4.121e-3
0.168, -4.120e-3
0.169, -4.118e-3
0.170, -4.117e-3
0.171, -4.116e-3
0.172, -4.115e-3
0.173, -4.113e-3
0.174, -4.111e-3
0.175, -4.108e-3
0.176, -4.108e-3
0.177, -4.106e-3
0.178, -4.105e-3
0.179, -4.103e-3
0.180, -4.100e-3
0.181, -4.097e-3
0.182, -4.097e-3
0.183, -4.095e-3
0.184, -4.093e-3
0.185, -4.091e-3
0.186, -4.089e-3
0.187, -4.087e-3
0.188, -4.085e-3
0.189, -4.084e-3
0.190, -4.082e-3
0.191, -4.078e-3
0.192, -4.077e-3
0.193, -4.074e-3
0.194, -4.071e-3
0.195, -4.070e-3
0.196, -4.068e-3
0.197, -4.065e-3
0.198, -4.062e-3
0.199, -4.059e-3
0.200, -4.171e-3
0.199, -4.288e-3
0.198, -4.341e-3
0.197, -4.377e-3
0.196, -4.406e-3
0.195, -4.429e-3
0.194, -4.450e-3
0.193, -4.465e-3
0.192, -4.480e-3
0.191, -4.494e-3
0.190, -4.504e-3
0.189, -4.514e-3
0.188, -4.522e-3
0.187, -4.532e-3
0.186, -4.539e-3
0.185, -4.546e-3
0.184, -4.550e-3
0.183, -4.556e-3
0.182, -4.561e-3
0.181, -4.563e-3
0.180, -4.569e-3
0.179, -4.571e-3
0.178, -4.575e-3
0.177, -4.578e-3
0.176, -4.581e-3
0.175, -4.583e-3
0.174, -4.587e-3
0.173, -4.588e-3
0.172, -4.590e-3
0.171, -4.591e-3
0.170, -4.593e-3
0.169, -4.594e-3
0.168, -4.595e-3
0.167, -4.595e-3
0.166, -4.597e-3
0.165, -4.598e-3
0.164, -4.599e-3
0.163, -4.599e-3
0.162, -4.601e-3
0.161, -4.603e-3
0.160, -4.601e-3
0.159, -4.602e-3
0.158, -4.602e-3
0.157, -4.603e-3
0.156, -4.603e-3
0.155, -4.601e-3
0.154, -4.601e-3
0.153, -4.601e-3
0.152, -4.603e-3
0.151, -4.603e-3
0.150, -4.604e-3
0.149, -4.603e-3
0.148, -4.604e-3
0.147, -4.604e-3
0.146, -4.602e-3
0.145, -4.602e-3
0.144, -4.602e-3
0.143, -4.603e-3
0.142, -4.602e-3
0.141, -4.604e-3
0.140, -4.603e-3
0.139, -4.604e-3
0.138, -4.604e-3
0.137, -4.603e-3
0.136, -4.602e-3
0.135, -4.602e-3
0.134, -4.602e-3
0.133, -4.603e-3
0.132, -4.605e-3
0.131, -4.605e-3
0.130, -4.604e-3
0.129, -4.603e-3
0.128, -4.604e-3
0.127, -4.603e-3
0.126, -4.605e-3
0.125, -4.604e-3
0.124, -4.605e-3
0.123, -4.605e-3
0.122, -4.605e-3
0.121, -4.604e-3
0.120, -4.605e-3
0.119, -4.604e-3
0.118, -4.605e-3
0.117, -4.605e-3
0.116, -4.607e-3
0.115, -4.607e-3
0.114, -4.607e-3
0.113, -4.608e-3
0.112, -4.607e-3
0.111, -4.607e-3
0.110, -4.607e-3
0.109, -4.607e-3
0.108, -4.608e-3
0.107, -4.608e-3
0.106, -4.610e-3
0.105, -4.608e-3
0.104, -4.610e-3
0.103, -4.612e-3
0.102, -4.612e-3
0.101, -4.611e-3
0.100, -4.513e-3
0.101, -4.416e-3
0.102, -4.376e-3
0.103, -4.348e-3
0.104, -4.326e-3
0.105, -4.307e-3
0.106, -4.293e-3
0.107, -4.280e-3
0.108, -4.267e-3
0.109, -4.259e-3
0.110, -4.252e-3
0.111, -4.244e-3
0.112, -4.240e-3
0.113, -4.232e-3
0.114, -4.227e-3
0.115, -4.223e-3
0.116, -4.219e-3
0.117, -4.214e-3
0.118, -4.211e-3
0.119, -4.207e-3
0.120, -4.205e-3
0.121, -4.201e-3
0.122, -4.199e-3
0.123, -4.197e-3
0.124, -4.194e-3
0.125, -4.193e-3
0.126, -4.190e-3
0.127, -4.189e-3
0.128, -4.188e-3
0.129, -4.185e-3
0.130, -4.183e-3
